parcel_number,street_number,street_name,notify_date,notify,status,latitude,longitude
012 093000202,743,OAKLAND AVE,8/31/10,Y,Exempt - engineer's letter,37.8214406112792,-122.24885826459929
044 496901600,1311,97TH AVE,10/25/10,Y,Incomplete Evaluation - Unclaimed,37.74464653028824,-122.17253567255261
010 079101902,359,VERNON ST,9/21/10,Y,Incomplete Evaluation,37.81582414466295,-122.25566836968606
010 080101200,78,FAIRMOUNT AVE,,Y,Incomplete Evaluation - Unclaimed,37.81624595734107,-122.260011632415
026 078501502,2545,26TH AVE,11/3/10,Y,Incomplete Evaluation,37.79086934463138,-122.2238660575378
021 022602101,230,WAYNE AVE,9/20/11,Y,Incomplete Evaluation,37.801763290680555,-122.25250632530603
021 022801500,243,ATHOL AVE,8/31/10,Y,Incomplete Evaluation,37.80111607255158,-122.25028705708031
010 080801000,401,FAIRMOUNT AVE,8/24/10,Y,Exempt - retrofitted,37.819212958052105,-122.2569505361792
010 077901600,436,BELLEVUE AVE,9/2/10,Y,Incomplete Evaluation,37.809253498303704,-122.25232759785663
008 067600700,532,25TH ST,,Y,Exempt - city inspection,37.81472737068732,-122.269280515732
027 083905000,2336,FRUITVALE AVE,11/9/10,Y,Done - Level 1,37.78608372615994,-122.2213878695669
001 017701401,711,MADISON ST,,Y,Incomplete Evaluation,37.79699563513881,-122.26718478721143
032 208402202,2000,36TH AVE,8/26/10,Y,Done - Level 1,37.78177786186884,-122.21657344870799
021 022901400,350,WAYNE PL,10/28/10,Y,Done - Level 1,37.800414017553685,-122.25054873169333
010 077700100,395,VAN BUREN AVE,9/16/10,Y,Done - Level 1,37.81037737491685,-122.25391584460887
021 021900901,730,E 17TH ST,8/27/10,Y,Incomplete Evaluation,37.796036495679,-122.248696590976
012 097802301,396,38TH ST,9/20/10,Y,Done - Level 1,37.826715215386166,-122.25989356602037
022 033801400,2301,IVY DR,10/7/10,Y,Incomplete Evaluation,37.80122540268977,-122.24451063541096
043A463901900,8658,MACARTHUR BLVD,9/3/10,Y,Incomplete Evaluation,37.758254899096315,-122.16195591892286
010 078000900,570,GRAND AVE,9/22/10,Y,Done - Level 2 Required,37.809295033511376,-122.25022250905509
032 210802802,2412,35TH AVE,11/15/10,Y,Exempt - engineer's letter,37.786413539845306,-122.21254837646862
021 022500801,127,ATHOL AVE,9/21/10,Y,Incomplete Evaluation - Unclaimed,37.80113885699151,-122.25350546457919
022 030902000,462,STOW AVE,11/9/10,Y,Exempt - no large openings,37.803486865360824,-122.250546370026
008 062504000,1614,WEBSTER ST,,Y,Incomplete Evaluation,37.805144000462825,-122.26723942655241
021 027401000,1926,6TH AVE,,Y,Incomplete Evaluation,37.79842110996513,-122.24768074597677
020 021500500,1745,12TH AVE,8/30/10,Y,Incomplete Evaluation,37.79320486275288,-122.24479483188357
023 041300900,420,MERRITT AVE,10/7/10,Y,Done - Level 1,37.80524793114366,-122.2490255893349
010 077201000,443,LEE ST,10/14/10,Y,Level 2 - Missing slope,37.809984707070555,-122.25719917993942
035 235801802,4555,BANCROFT AVE,,Y,Incomplete Evaluation,37.77205833390298,-122.21109206964144
033 215101800,1818,ROSEDALE AVE,9/1/10,Y,Exempt - less than 5 units,37.77647571264965,-122.21495902710735
021 023401901,1846,8TH AVE,9/1/10,Y,Done - Level 1,37.7965040160083,-122.24671485373737
024 053201000,4001,GREENWOOD AVE,10/8/10,Y,Done - Level 1,37.80705167404868,-122.22634358015999
025 071600902,1500,29TH AVE,,Y,Done - Level 1,37.77997413103431,-122.22777242647835
008 063001000,1520,MADISON ST,8/24/10,Y,Incomplete Evaluation - Unclaimed,37.802704819561356,-122.26289876806264
023 041900900,539,MERRITT AVE,9/14/10,Y,Done - Level 1,37.80763218481088,-122.24741094839528
011 085301602,1001,WALKER AVE,9/21/10,Y,Done - Level 2 Required  ,37.81627981517533,-122.2445359898825
040A341703400,6918,LACEY AVE,8/31/10,Y,Done - Level 1,37.77147353073972,-122.17324926709436
010 077300800,303,LEE ST,9/7/10,Y,Level 1 - missing data ,37.81162218389293,-122.2566710195544
010 082901200,541,CHETWOOD ST,,Y,Incomplete Evaluation,37.81762397870374,-122.24994474176584
037A275509001,6650,LAIRD AVE,,Y,Incomplete Evaluation,37.773385859982035,-122.17503024677208
011 087201600,3600,LAKESHORE AVE,9/14/10,Y,Done - Level 1,37.812699288298866,-122.24055864776486
012 098801603,779,KINGSTON AVE,,Y,Done - Level 1,37.82435655978021,-122.24905983787639
011 085201900,1010,WALKER AVE,10/29/10,Y,Exempt - retrofitted,37.81638468936527,-122.24405060394714
010 077301005,288,VAN BUREN AVE,10/7/10,Y,Done - Level 2 Required  ,37.81126199228957,-122.25682112737007
025 071600700,1534,29TH AVE,9/17/10,Y,Level 2 - Missing slope,37.780342152411656,-122.22740743868249
020 018000400,239,FOOTHILL BLVD,9/22/10,Y,Done - Level 1,37.79860037456772,-122.25409570592691
008 063000900,1525,LAKESIDE DR,11/2/10,Y,Incomplete Evaluation,37.80264327724074,-122.26235390777563
022 031000100,601,BROOKLYN AVE,9/14/10,Y,Exempt - engineer's letter,37.80453186373352,-122.24906287505092
002 002300100,675,11TH ST,,Y,Incomplete Evaluation,37.8043701934085,-122.27827014905677
023 046700500,633,ALMA AVE,8/31/10,Y,Done - Level 1 ,37.804759664951334,-122.23877182687735
036 241601400,2225,48TH AVE,9/13/10,Y,Incomplete Evaluation - Unclaimed,37.77675045677376,-122.20505367253624
013 110900100,287,MATHER ST,9/1/10,Y,Done - Level 2 Required  ,37.83155484379576,-122.25306971138838
040A341000900,7709,NEY AVE,9/20/10,Y,Incomplete Evaluation - Unclaimed,37.76751621689586,-122.16803756141373
011 084100900,833,YORK ST,,Y,Incomplete Evaluation,37.81333138845092,-122.24352793964638
008 062602800,1530,HARRISON ST,10/25/10,Y,Incomplete Evaluation,37.80426292988283,-122.26631572061943
005 038600300,1729,FILBERT ST,,Y,Incomplete Evaluation,37.811490943027806,-122.28227147178676
023 039503902,3210,PARK BLVD,9/7/10,Y,Incomplete Evaluation,37.80296774610708,-122.23589222290828
012 097403600,3769,RUBY ST,2/14/11,Y,Ask for exemption - did not review ,37.82630222474118,-122.26256097970213
023 041802800,589,MERRITT AVE,9/3/10,Y,Done - Level 2 Required  ,37.80799967434014,-122.24609654631325
010 079501100,265,VERNON ST,11/3/10,Y,Exempt - no large openings,37.81438813719487,-122.25839321865352
022 030802200,1914,LAKESHORE AVE,10/13/10,Y,Exempt - no large openings,37.802722654508585,-122.25341919085555
032 203210400,3105,HIGH ST,9/2/10,Y,Incomplete Evaluation,37.78521456582807,-122.20022701047304
021 022501100,1820,LAKESHORE AVE,10/6/10,Y,Exempt - less than 5 units,37.80095343771432,-122.2539331799793
030 189802000,3660,35TH AVE,10/28/10,Y,Incomplete Evaluation - Unclaimed,37.7941873244883,-122.19927559162836
010 077701501,400,PERKINS ST,11/9/10,Y,Exempt - engineer's letter,37.81038382013573,-122.25513085014774
026 077001800,3050,DAVIS ST,10/8/10,Y,Done - Level 1,37.79006874095268,-122.22048373956854
021 023300601,1811,8TH AVE,8/26/11,Y,Done - Level 1,37.7965934834983,-122.2475259072189
022 030201000,2210,10TH AVE,10/26/10,Y,Incomplete Evaluation,37.79734132113669,-122.24175106979125
025 071202800,1508,27TH AVE,,Y,Incomplete Evaluation,37.78154811440295,-122.2302216751104
008 066500400,2341,VALLEY ST,10/29/10,Y,Incomplete Evaluation,37.813323642715574,-122.26775357705877
021 022802301,201,ATHOL AVE,9/3/10,Y,Done - Level 1,37.80097623331096,-122.25154074526863
010 083303301,733,JEAN ST,9/24/10,Y,Done - Level 2 Required,37.81871005233313,-122.24571594892048
010 080102200,231,29TH ST,,Y,Incomplete Evaluation - Unclaimed,37.816405320549464,-122.25962289905719
040 340400600,2767,79TH AVE,9/7/10,Y,Incomplete Evaluation,37.765237402354245,-122.16806056613534
022 030501500,2208,CARROLL ST,9/2/10,Y,Done - Level 2 Required  ,37.80052696748217,-122.24539538924263
040A345702101,8036,GREENRIDGE DR,10/20/10,Y,Incomplete Evaluation,37.772665001224546,-122.15371553512999
022 034002800,2424,7TH AVE,,Y,Done - Level 1,37.801123450328525,-122.24237793947083
,1929,33RD AVE,,Y,Exempt - no large openings,,
025 071801401,1479,FRUITVALE AVE,,Y,Incomplete Evaluation,37.77875015493793,-122.22583845684795
039 330301001,6909,FRESNO ST,11/16/10,Y,Incomplete Evaluation,37.76602242248941,-122.18162867999585
020 019000100,901,E 17TH ST,,Y,Incomplete Evaluation,37.79451234054421,-122.24768771195237
010 078505102,270,EUCLID AVE,9/21/10,Y,Exempt - engineer's letter,37.81515198977374,-122.25305760171159
010 078700600,365,WARWICK AVE,8/26/10,Y,Done - Level 1,37.81391197970705,-122.25356368741254
,1432,3RD AVE - Bldg #1444,,,Level 2 - Missing slope,,
010 078504900,276,EUCLID AVE,10/26/10,Y,Done - Level 1,37.81472290908977,-122.25279433204162
030 193306800,3810,MAYBELLE AVE,9/1/10,Y,Done - Level 1,37.78999541858467,-122.19268835035051
040A341001000,7717,NEY AVE,11/8/10,Y,Exempt - less than 5 units,37.767429492912584,-122.1679081262421
010 083403300,592,JEAN ST,,Y,Incomplete Evaluation,37.817490210426236,-122.2477107823455
038 319600102,6311,FOOTHILL BLVD,9/21/10,Y,Done - Level 1,37.77058956317329,-122.18524363073722
022 037600800,3203,14TH AVE,10/7/10,Y,Level 2 - Missing slope,37.7997338910243,-122.2286641351087
012 100403700,4180,OPAL ST,9/14/10,Y,Incomplete Evaluation,37.83054466481077,-122.25786014515913
022 033903401,2820,PARK BLVD,10/25/10,Y,Exempt - engineer's letter,37.80247105623263,-122.23912276262591
012 093803300,3775,LEIGHTON ST,9/1/10,Y,Incomplete Evaluation - Unclaimed,37.82318845405665,-122.25573873466672
037A275200104,3571,66TH AVE,11/8/10,Y,Done - Level 2 Required  ,37.77446865298432,-122.1755635704609
010 077301201,296,LENOX AVE,8/24/10,Y,Done - Level 1,37.81150920126435,-122.25719051558642
010 083000100,748,OAKLAND AVE,,Y,Incomplete Evaluation,37.820984874980915,-122.24847297856148
020 018401000,336,FOOTHILL BLVD,9/24/10,Y,Exempt - less than 5 units,37.798242310037686,-122.25299323644974
023 041901803,556,BODEN WAY,9/22/10,Y,Done - Level 2 Required  ,37.80775628370081,-122.24782986412261
037A274601604,6400,MACARTHUR BLVD,9/22/10,Y,Incomplete Evaluation,37.77405850714967,-122.17936104024297
010 077403300,276,LEE ST,,Y,Done - Level 1,37.812657749133045,-122.25671436937495
025 072201100,1661,FRUITVALE AVE,10/13/10,Y,Done - Level 1,37.78097569849901,-122.22446851700012
008 062701201,1505,JACKSON ST,,Y,Exempt - city inspection,37.8032747247039,-122.26482825139749
037A275509002,6656,LAIRD AVE,,Y,Incomplete Evaluation - Unclaimed,37.77330582804863,-122.1749485875356
008 062601000,1519,ALICE ST,,Y,Exempt - city inspection,37.80431918973883,-122.26569778371285
012 093200400,635,EL DORADO AVE,,Y,Incomplete Evaluation,37.822371615644514,-122.25179166985782
012 097701200,3873,SHAFTER AVE,3/4/11,Y,Done - Level 1,37.827301389444024,-122.26039588617864
012 098902500,96,LINDA AVE,9/3/10,Y,Exempt - engineer's letter,37.82560717611221,-122.24822387997175
010 078200100,362,PERKINS ST,10/14/10,Y,Level 2 - Missing slope,37.81153606387787,-122.25479194194904
010 082707400,508,VALLE VISTA AVE,10/25/10,Y,Done - Level 2 Required ,37.81443184577028,-122.24690829324642
010 083002601,612,MARIPOSA AVE,8/24/10,Y,Exempt - engineer's letter,37.81976017429352,-122.24968898406928
027 087001600,3149,BROOKDALE AVE,10/6/10,Y,Done - Level 1,37.790933213114826,-122.2137961296116
027 085501700,2926,BROOKDALE AVE,,Y,Incomplete Evaluation,37.79272603128592,-122.21606193912142
024 054700100,4423,EDGEWOOD AVE,8/25/10,Y,Done - Level 2 Required  ,37.809309803963515,-122.22030435893967
022 030800100,2064,LAKESHORE AVE,10/28/10,Y,Exempt - less than 5 units,37.8040537397804,-122.2512094872709
010 078901601,270,PERKINS ST,9/22/10,Y,Done - Level 2 Required ,37.81419161614224,-122.25494333183882
022 033900501,2657,IVY DR,8/31/10,Y,Incomplete Evaluation - Unclaimed,37.802066471798206,-122.23956641101302
021 027300100,1940,7TH AVE,8/25/10,Y,Done - Level 2 Required  ,37.79790423531161,-122.2465705751996
021 022602600,270,WAYNE AVE,8/31/10,Y,Ask for exemption - did not review  ,37.80233452788786,-122.25289415234454
022 031301900,334,PORTLAND AVE,9/1/10,Y,Incomplete Evaluation - Unclaimed,37.802251674690076,-122.24607946606102
006 000903300,1235,PERALTA ST,,Y,Exempt - city inspection,37.81071569516508,-122.29485130086792
038 323706000,2016,57TH AVE,11/9/10,Y,Incomplete Evaluation,37.769033901621654,-122.1965440854112
015 135603100,5815,M L KING JR WAY,,Y,Incomplete Evaluation,37.8438363969723,-122.27088003268922
032 208201900,4230,CARRINGTON ST,10/25/10,Y,Incomplete Evaluation - Unclaimed,37.777076310962144,-122.20970393236088
020 013400600,544,INTERNATIONAL BLVD,8/25/10,Y,Incomplete Evaluation,37.79544758618746,-122.25295084868851
010 077301400,286,LENOX AVE,10/6/10,Y,Done - Level 1,37.81186568362546,-122.25742952004451
027 085302300,2937,BROOKDALE AVE,10/7/10,Y,Level 2 - Missing slope,37.79211164777375,-122.21631101935084
023 042000100,590,MERRITT AVE,9/29/10,Y,Exempt - engineer's letter,37.807668092786365,-122.24608442291644
022 030802100,1918,LAKESHORE AVE,9/30/10,Y,Incomplete Evaluation - Unclaimed,37.80286763821997,-122.2532879436576
045 525601803,10778,PIPPIN ST,9/1/10,Y,Incomplete Evaluation,37.73308094356344,-122.17340004518623
029 098901602,3535,COOLIDGE AVE,10/28/10,Y,Done - Level 2 in process,37.79913619134062,-122.208486110965
023 047100501,580,CAPELL ST,9/29/10,Y,Exempt - no large openings,37.803841462355166,-122.23999928023804
039 329801502,6868,FOOTHILL BLVD,10/4/10,Y,Incomplete Evaluation,37.76996965783042,-122.17664274620365
010 081701900,36,MOSS AVE,9/14/10,Y,Done - Level 1,37.8193945705997,-122.25145348431265
021 023601300,1846,10TH AVE,9/14/10,Y,Level 2 - Missing slope,37.79502736106787,-122.24511911753214
,3604,LAGUNA AVE,8/27/10,Y,Incomplete Evaluation,,
021 022700800,346,HANOVER AVE,9/18/10,Y,Done - Level 1,37.802580967078235,-122.25044017956351
033 213003800,1428,35TH AVE,,Y,Incomplete Evaluation,37.77662253237269,-122.22220332141748
014 125602700,5311,MILES AVE,11/9/10,Y,Incomplete Evaluation,37.84057130797215,-122.25748914963863
035 238900500,5452,BANCROFT AVE,9/2/10,Y,Incomplete Evaluation,37.772031615688064,-122.19905453794635
030 193301700,3720,MAYBELLE AVE,9/16/10,Y,Incomplete Evaluation,37.78965065714559,-122.19326019682262
012 093000800,3900,HARRISON ST,,Y,Exempt - engineer's letter,37.82139785745086,-122.25023348049979
022 034004101,700,E 24TH ST,,Y,Incomplete Evaluation,37.80086138919006,-122.24254740023852
011 084200700,859,WARFIELD AVE,11/9/10,Y,Done - Level 1,37.81411096936333,-122.2438658838068
,288,WHITMORE ST,,,Done - Level 2 Required  ,,
027 087703400,3400,SALISBURY ST,9/3/10,Y,Done - Level 1,37.78652644500345,-122.21727663776166
033 212000800,1643,34TH AVE,,,Exempt - less than 5 units,37.78051410846059,-122.22220407180978
010 080102100,237,29TH ST,,Y,Incomplete Evaluation,37.816498583272654,-122.2597726744548
021 023101900,1848,5TH AVE,10/18/10,Y,Ask for exemption - did not review  ,37.79866559048597,-122.24927324814102
030 190701700,3700,MACARTHUR BLVD,11/1/10,Y,Done - Level 2 Required  ,37.79244124256428,-122.19906149453412
046 548000804,9031,HILLSIDE ST,8/26/10,Y,Done - Level 1,37.75401638705039,-122.16313032509713
010 081500600,601,OAKLAND AVE,8/27/10,Y,Exempt - engineer's letter,37.820666098234796,-122.25146036396899
032 205808800,4077,ALLENDALE AVE,11/15/10,Y,Level 1 - missing data ,37.784118553027916,-122.20392817952924
038 322301002,5645,BANCROFT AVE,11/8/10,Y,Done - Level 1,37.771135771103964,-122.19483476419977
010 081502100,3830,HARRISON ST,11/1/10,Y,Level 2 - Missing slope,37.82115288135355,-122.25106399669913
010 079001501,381,ADAMS ST,,Y,Incomplete Evaluation,37.81533298406053,-122.25474634635107
033 212102900,1536,FRUITVALE AVE,9/3/10,Y,Incomplete Evaluation - no data,37.779355151003244,-122.22451242590918
048C720000147,381,SOMERSET RD,8/25/10,Y,Exempt - less than 5 units,37.819680020438064,-122.20928064313922
012 098500900,3873,HOWE ST,,Y,Incomplete Evaluation,37.82598165398041,-122.25520477832518
009 073103300,3401,RICHMOND BLVD,10/25/10,Y,Done - Level 1,37.82101481106243,-122.25852994353127
048F735400601,6225,ANTIOCH ST,8/27/10,Y,Level 1 - missing data ,37.82627347633066,-122.20843426660325
010 079600400,335,ADAMS ST,8/24/10,Y,Exempt - no large openings,37.81458816300534,-122.25606234531946
027 085801300,2936,SCHYLER ST,8/25/10,Y,Exempt - no large openings,37.79472605279581,-122.21435760480972
008 062901400,1514,JACKSON ST,8/25/10,Y,Exempt - engineer's letter,37.80317194771535,-122.26405144255457
010 076902502,80,VERNON ST,,Y,Incomplete Evaluation,37.81271687987411,-122.25925450704314
021 022702401,351,LESTER AVE,10/28/10,Y,Ask for exemption - did not review,37.8022897521783,-122.24990892691658
033 213804200,1544,38TH AVE,11/2/10,Y,Exempt - no large openings,37.77609380749391,-122.21855310562022
009 068301800,498,25TH ST,10/7/10,Y,Incomplete Evaluation,37.814746593842884,-122.2679195320043
010 082901300,505,CHETWOOD ST,11/9/10,Y,Incomplete Evaluation - Unclaimed,37.81735826862381,-122.25004455820202
009 073902000,886,34TH ST,10/7/10,Y,Done - Level 1,37.82476852748368,-122.27476225792316
011 085301100,1045,WALKER AVE,,Y,Incomplete Evaluation - Unclaimed,37.816964304509256,-122.24441719481679
021 022703302,301,LESTER AVE,10/6/10,Y,Done - Level 2 Required  ,37.80185022643641,-122.25124484944936
015 135301900,5918,GENOA ST,11/22/10,Y,Level 1 - missing data ,37.84445542515314,-122.27240915332798
039 328001101,6506,FOOTHILL BLVD,8/24/10,Y,Incomplete Evaluation - Unclaimed,37.7707848113979,-122.18282302651244
029A130100400,3645,DIMOND AVE,9/2/10,Y,Done - Level 1,37.80309088330797,-122.21687954300083
,1923,33RD AVE,,Y,Exempt - no large openings,,
010 083501000,3733,GRAND AVE,9/15/10,Y,Done - Level 1,37.817038731629026,-122.24576926773727
012 099701301,4105,MONTGOMERY ST,11/22/10,Y,Exempt - no large openings,37.827857679736525,-122.25376253294701
032 205701400,2817,HIGH ST,,Y,Incomplete Evaluation,37.78392456450136,-122.20242274380453
027 086305200,3256,NICOL AVE,,Y,Incomplete Evaluation - Unclaimed,37.79158582813375,-122.21159674355282
021 022600500,261,LESTER AVE,10/18/10,Y,Exempt - no large openings,37.802278561333125,-122.25227738337576
008 062901500,1520,JACKSON ST,9/20/10,Y,Incomplete Evaluation,37.8033763491069,-122.26392730750725
010 077500901,433,PERKINS ST,8/24/10,Y,Done - Level 1,37.80974360662856,-122.25611981407978
010 083108202,670,VERNON ST,,Y,Incomplete Evaluation - Unclaimed,37.819770462301314,-122.24792910097834
013 111602100,4328,HOWE ST,,Y,Done - Level 1,37.82980225854567,-122.24903664896087
023 039502700,927,BAYVIEW AVE,,Y,Incomplete Evaluation,37.80202813831401,-122.23782737897164
030 191200902,3633,PATTERSON AVE,9/1/10,Y,Incomplete Evaluation - Unclaimed,37.79173347097456,-122.19769598411109
008 062600900,1529,ALICE ST,,Y,Incomplete Evaluation,37.804508996019365,-122.26557938281731
032 206302700,2656,38TH AVE,8/26/10,Y,Done - Level 1,37.785855046251015,-122.20600221591633
010 078902100,380,ADAMS ST,9/20/10,Y,Incomplete Evaluation - Unclaimed,37.81486681144702,-122.25447996714149
030 192004512,3773,39TH AVE,10/19/10,Y,Incomplete Evaluation,37.79167711087998,-122.19488944460373
025 072201300,1621,FRUITVALE AVE,9/2/10,Y,Exempt - engineer's letter,37.78032803138767,-122.22483353926918
027 085303400,3010,BONA ST,10/8/10,Y,Done - Level 2 Required  ,37.79224181344839,-122.21760804652824
,5301+5315,TELEGRAPH AVE,,Y,Done - Level 1,,
020 018601400,512,FOOTHILL BLVD,,Y,Incomplete Evaluation,37.7970378762099,-122.25158677652654
016 142100200,6635,DANA ST,8/26/10,Y,Incomplete Evaluation,37.85274749105054,-122.25856480823568
020 018901300,818,FOOTHILL BLVD,,Y,Exempt - less than 5 units,37.79473758293783,-122.24886915104793
030 192502800,3806,39TH AVE,9/15/10,Y,Done - Level 1,37.7915255654066,-122.19380765081792
032 208702702,1908,38TH AVE,11/1/10,Y,Done - Level 1,37.77907813713394,-122.21611472641506
022 033900200,2809,8TH AVE,10/26/10,Y,Incomplete Evaluation - Unclaimed,37.80220997810895,-122.239073340953
028 090602901,2425,MACARTHUR BLVD,6/23/11,Y,Done - Level 2 Required  ,37.79943616397962,-122.21364017509792
011 083901200,3501,LAKESHORE AVE,11/1/10,Y,Incomplete Evaluation - Unclaimed,37.81203117086133,-122.24256846586859
008 062900800,1555,MADISON ST,9/24/10,Y,Done - Level 1,37.80340957348778,-122.26332817924983
032 206903201,4060,LYON AVE,9/3/10,Y,Level 2 - Missing slope,37.7823771823011,-122.20632506764879
029A130203200,3556,DIMOND AVE,10/19/10,Y,Level 2 - Missing slope,37.801683755375,-122.21649312056277
029A130101400,3541,DIMOND AVE,9/22/10,Y,Incomplete Evaluation,37.80161915242201,-122.21733340088466
010 077800900,439,BELLEVUE AVE,9/24/10,Y,Exempt - no large openings,37.8092700276197,-122.2529962030472
046 544600400,1838,92ND AVE,,Y,Incomplete Evaluation,37.75083836846827,-122.1684701368236
020 017801303,428,E 15TH ST,9/21/10,Y,Incomplete Evaluation,37.796918196261004,-122.25300604893113
023 041200600,2122,LAKESHORE AVE,8/25/10,Y,Exempt - engineer's letter,37.8046111723385,-122.2504096972853
038 324200502,5847,TRASK ST,10/14/10,Y,Done - Level 1,37.770041928850375,-122.19300366051678
010 080800900,407,FAIRMOUNT AVE,8/24/11,Y,Done - Level 1,37.819396262358765,-122.25669322714761
035 236205400,1620,50TH AVE,9/14/10,Y,Incomplete Evaluation,37.77134911466697,-122.20699844828141
045 525601802,10786,PIPPIN ST,10/28/10,Y,Incomplete Evaluation,37.732959126872146,-122.17326032396582
021 023300400,1843,8TH AVE,10/7/10,Y,Done - Level 1,37.796829273666205,-122.24719966330007
021 023501602,1836,9TH AVE,8/24/10,Y,Done - Level 1,37.79567854333877,-122.24612998814382
022 030801900,321,WAYNE AVE,,Y,Incomplete Evaluation,37.8030946166557,-122.25318776710441
010 077300900,307,LEE ST,8/24/10,Y,Level 2 - Missing slope,37.81146311445796,-122.25663303059517
021 027401100,1932,6TH AVE,9/21/10,Y,Incomplete Evaluation - Unclaimed,37.79853084435958,-122.2475263338827
010 081402100,550,FAIRMOUNT AVE,9/2/10,Y,Incomplete Evaluation,37.82159119725973,-122.25419081619535
010 081500902,561,OAKLAND AVE,,Y,Incomplete Evaluation,37.820326338353,-122.25226271537267
027 084203202,2500,FRUITVALE AVE,9/21/10,Y,Done - Level 1,37.787685124355605,-122.22091971603557
011 083700101,768,WALKER AVE,,Y,Incomplete Evaluation,37.81331079340681,-122.24533921523171
040 337802202,7911,BANCROFT AVE,,Y,Incomplete Evaluation,37.76169399099646,-122.17273424835727
013 115001902,4770,TELEGRAPH AVE,,Y,Exempt - less than 5 units,37.83449812885885,-122.26267218197218
008 063000300,123,17TH ST,9/27/10,Y,Incomplete Evaluation,37.80375347733405,-122.26187807247302
033 213405000,1568,36TH AVE,,Y,Incomplete Evaluation,37.778163162434055,-122.22027354415147
027 089603702,2429,HUMBOLDT AVE,8/30/10,Y,Done - Level 1,37.788794648157996,-122.21365080558789
032 205809800,2701,HIGH ST,11/22/10,Y,Done - Level 1,37.78345027200611,-122.20338884045279
032 208402203,2022,36TH AVE,9/16/10,Y,Done - Level 2 Required  ,37.7821169225341,-122.21617743870652
012 097201300,3875,RUBY ST,8/31/10,Y,Done - Level 1,37.82764414841767,-122.26267572222419
013 113406300,4466,VIEW PL,11/3/10,Y,Done - Level 1,37.83269668068741,-122.2485957666089
022 030501800,2215,CARROLL ST,10/22/10,Y,Incomplete Evaluation - Unclaimed,37.80093740082604,-122.24560123890366
010 076600603,491,STATEN AVE,9/22/10,Y,Incomplete Evaluation - Unclaimed,37.80806009391805,-122.25415253735396
016 140702100,6009,CLAREMONT AVE,9/14/10,Y,Done - Level 1,37.84753911328455,-122.25402909481257
011 085103200,970,VERMONT ST,9/28/10,Y,Incomplete Evaluation - Unclaimed,37.81614110015892,-122.24275561367615
021 026900602,1925,10TH AVE,10/5/10,Y,Done - Level 1,37.79583746062547,-122.24494796972755
021 023601200,1830,10TH AVE,9/2/10,Y,Done - Level 1,37.79488057071824,-122.24520877613898
012 094504001,441,W MACARTHUR BLVD,,Y,Level 1 - missing data,37.82539420800409,-122.26335768323311
041 420301402,1079,81ST AVE,,Y,Incomplete Evaluation,37.753850007975444,-122.18468779626431
010 077701801,375,VAN BUREN AVE,,Y,Exempt - engineer's letter,37.81032827923317,-122.25434772919134
020 015000400,2117,E 15TH ST,9/20/10,Y,Incomplete Evaluation - no data,37.785563382693645,-122.23798464118603
029 097704300,2930,MACARTHUR BLVD,,Y,Incomplete Evaluation,37.798117100984314,-122.20601859998949
005 041001800,914,18TH ST,,Y,Incomplete Evaluation,37.811512641009564,-122.280320912508
025 072601800,3014,E 19TH ST,9/22/10,Y,Incomplete Evaluation,37.783410174684086,-122.22410102442598
040A342003600,7916,NEY AVE,9/21/10,Y,Exempt - engineer's letter ,37.76593671911306,-122.16511708789456
022 030500401,609,E 23RD ST,,Y,Incomplete Evaluation,37.80048555191728,-122.24465274242311
010 079505101,230,ORANGE ST,9/2/10,Y,Done - Level 1,37.815366080085596,-122.25708909687793
022 034102100,2624,8TH AVE,10/20/10,Y,Incomplete Evaluation,37.80122195673881,-122.23963084837438
030 192501000,3670,39TH AVE,9/1/10,Y,Ask for exemption - did not review ,37.79008911340811,-122.19553973679609
040A341103600,7716,NEY AVE,9/23/10,Y,Incomplete Evaluation - Unclaimed,37.76782854365891,-122.16727322232201
023 046300300,817,MACARTHUR BLVD,9/22/10,Y,Incomplete Evaluation,37.80649290684833,-122.24049889539785
012 099601600,4021,HOWE ST,9/21/10,Y,Incomplete Evaluation - Unclaimed,37.82686587411459,-122.25392289569866
010 079404600,360,OAKLAND AVE,11/15/10,Y,Done - Level 2 Required  ,37.81682297646564,-122.25625199162302
005 038402103,1725,MARKET ST,8/24/10,Y,Incomplete Evaluation,37.8105353082267,-122.28050818937454
045 518702201,1357,104TH AVE,11/3/10,Y,Done - Level 1,37.739660230144246,-122.16805002379823
021 026800600,920,E 20TH ST,,Y,Incomplete Evaluation,37.79667507028481,-122.24443515053738
027 084101600,2434,FRUITVALE AVE,9/13/10,Y,Incomplete Evaluation,37.78733758436222,-122.2208961823463
023 041700101,490,CAPITAL ST,7/6/11,Y,Done - Level 1,37.806571220476485,-122.24729689508263
021 022600601,267,LESTER AVE,9/21/10,Y,Incomplete Evaluation - Unclaimed,37.80210975106652,-122.25220482907658
021 026500800,1931,12TH AVE,9/7/10,Y,Done - Level 1,37.79449065271384,-122.24311656871632
011 084202000,848,VERMONT ST,,Y,Incomplete Evaluation,37.81418791671611,-122.244240480389
012 099600500,237,41ST ST,8/31/10,Y,Exempt - retrofitted,37.82764856782624,-122.25487887124581
010 078502900,380,EUCLID AVE,11/2/10,Y,Level 2 - Missing slope,37.811801216193025,-122.2515013861155
006 001702601,720,WILLOW ST,,Y,Incomplete Evaluation,37.8068644493457,-122.30032380514326
